Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,BEN,"GDP per capita, PPP (current international $)",1259.572448,1312.125799,1334.477698,1396.083603,1405.70911,1472.633753,1516.003958,1581.943093,1614.630052,1675.2458,1759.719075,1837.804034,1895.00044,1936.88123,2015.637506,2052.528339,2135.262731,2258.491878,2347.922705,2353.634208,2364.118351,2416.327107,2498.497313,2669.689821,2833.411926,2886.831867,3004.809187,3044.513887,3235.361695,3423.551727
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",589.9031981,647.5960217,646.2554711,666.1688552,670.7948186,704.3992257,774.5899983,814.7223501,859.6632283,910.5799498,921.9398916,976.1610427,1005.429745,1072.46739,1117.465432,1215.573711,1291.485516,1339.7384,1401.957727,1411.127528,1502.10347,1586.571556,1619.400012,1683.107411,1692.304397,1713.519379,1893.696435,2053.504418,2181.845865,2280.380037
Bangladesh,BGD,"GDP per capita, PPP (current international $)",850.5049937,888.9973526,937.5730556,983.4511052,1021.430916,1073.104203,1118.100879,1163.617138,1212.188039,1261.344434,1331.548275,1403.126044,1453.2619,1523.79715,1620.424729,1753.874295,1901.716187,2065.154477,2206.509932,2309.563194,2439.069568,2620.822484,2937.588452,3143.518357,3367.995525,3555.50551,3849.110987,4161.090135,4546.227418,4950.743581
Bulgaria,BGR,"GDP per capita, PPP (current international $)",7536.986887,7204.824567,6906.885483,7021.656511,7326.814524,7728.747551,6836.628723,5748.481972,6177.586149,5807.816107,6424.397192,6961.936923,7786.386557,8407.785466,9193.156479,10291.47048,11394.3456,12798.09296,14335.69643,14188.16926,14872.37421,15661.20193,16241.63307,16581.77059,17555.49504,18341.96059,19885.78187,21363.02909,22601.40349,24561.18261
Bahrain,BHR,"GDP per capita, PPP (current international $)",26875.5967,30066.26308,31972.89073,36038.63154,35822.75739,37059.51522,38272.78837,39039.63478,40104.84514,40910.65311,42181.84257,42094.88315,41932.24131,42860.48222,44185.44503,45400.49528,46200.87689,47533.08856,47847.78695,46498.80416,46873.09888,47377.57244,50675.58204,51494.41172,51101.90053,45686.24664,44790.08785,47642.44829,47333.4912,46891.85984
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",21497.15541,20904.37894,20174.73122,20331.11834,21048.21647,22083.25182,23124.24596,23725.70778,24844.32243,26685.36955,28033.62627,28957.03739,29715.51949,29362.61408,29869.39793,31260.83313,32401.64894,33117.47052,32373.30647,30728.55402,31090.26448,31522.60503,32216.49207,31855.29977,32562.33142,33542.15359,34182.60462,35308.4134,36338.24768,37265.8121
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",,,,,953.1351971,1208.524795,2365.334748,3258.118918,3810.544348,4226.449708,4549.076518,4751.136926,5136.513774,5373.217922,6200.652275,6479.676121,7405.055694,8188.019046,9028.824303,9037.344147,9354.550815,9976.496637,10304.07475,11016.54419,11433.16261,12013.91994,12990.01581,13788.48206,14932.37321,15791.67474
Belarus,BLR,"GDP per capita, PPP (current international $)",5232.078293,5341.485262,4928.1088,4650.988237,4199.440345,3854.031976,4047.990731,4606.719594,5073.961933,5344.658213,5808.357426,6248.211382,6709.845503,7367.193779,8489.484087,9642.429792,10994.76674,12317.4565,13885.74672,14050.88031,15349.22813,16543.04373,18071.5056,18948.46847,18955.90703,18041.2425,17725.75218,18280.19892,19330.86888,19943.29252
Belize,BLZ,"GDP per capita, PPP (current international $)",3335.078203,3771.2218,4251.229025,4547.882594,4558.743162,4564.744011,4566.84936,4638.422822,4682.979874,4978.575553,5558.713836,5765.925113,5963.817013,6467.829782,6781.735236,6945.53196,7307.060872,7347.215256,7554.675756,7439.086488,7563.95958,7684.817622,7272.870015,7226.994831,7170.529464,7244.391078,7179.462319,7108.8667,7287.084978,7295.230136
Bermuda,BMU,"GDP per capita, PPP (current international $)",29458.44947,29530.09445,30404.46825,31889.81102,32539.60977,34436.09246,35749.35698,37807.2562,39433.1515,41124.84788,45554.16772,49379.79119,49099.09171,51379.34248,53635.84137,55869.63251,60404.00041,63432.9958,65267.6395,61945.56203,61837.42573,61550.22479,58563.34541,59474.59848,,,,,,
Bolivia,BOL,"GDP per capita, PPP (current international $)",2374.677915,2530.238339,2575.604276,2692.076368,2818.55836,2950.813427,3072.635727,3215.091009,3347.609937,3344.228533,3437.618867,3504.740044,3580.8176,3677.638725,3863.454139,4086.373881,4335.383088,4575.663742,4868.444128,4986.462438,5167.113773,5460.25549,5921.64949,6624.805273,7056.82839,7133.874461,7499.778858,8423.696794,8859.773727,9086.060696
Brazil,BRA,"GDP per capita, PPP (current international $)",6701.209044,6909.921746,6915.312702,7287.075403,7712.671674,8090.89,8288.17895,8582.067746,8575.873517,8611.90023,9060.786399,9260.765959,9568.063847,9733.770816,10445.34451,10988.95868,11642.44395,12549.92798,13312.76342,13269.11857,14299.5517,15040.05818,15046.28988,15588.72621,15718.56565,14744.11291,14256.16325,14519.84913,14940.67261,15258.85083
